"symbol","avg_price_fluctuation"
ADBE,11.9320000000000000
BUD,0.60500000000000000000
AMZN,4.0030000000000000
ABBV,3.4790000000000000
BABA,1.9190000000000000
BP,0.49050000000000000000
AMGN,6.7460000000000000
BTI,0.39850000000000000000
AAPL,4.1280000000000000
BNS,0.68100000000000000000
ASML,22.2250000000000000
BHP,0.77800000000000000000
BMY,1.1735000000000000
AZN,1.1265000000000000
BAC,0.76150000000000000000
AMT,4.3575000000000000
AVGO,6.4170000000000000
BLK,14.3225000000000000
ADP,4.1400000000000000
BA,4.8605000000000000
BAM,0.97200000000000000000
BKNG,71.5810000000000000
ABT,1.7055000000000000
AXP,5.6250000000000000
BDX,4.5640000000000000
ACN,6.9345000000000000
